,Role,Name,Affiliation,Country,Photo
0,General chair,Issei Fujishiro,Keio University,Japan,issei_fujishiro.jpg
1,Papers co-chairs (Journal Track),Niklas Elmqvist,Aarhus University,Denmark,niklas_elmqvist.jpg
2,Papers co-chairs (Journal Track),Shixia Liu,Tsinghua University,China,shixia_liu.jpg
3,Papers co-chairs (Journal Track),Valerio Pascucci,University of Utah,USA,valerio_pascucci.jpg
4,Papers co-chairs (Conference Track),Markus Hadwiger,King Abdullah University of Science and Technology,Saudi Arabia,markus_hadwiger.jpg
5,Papers co-chairs (Conference Track),Takayuki Itoh,Ochanomizu University,Japan,takayuki_itoh.jpg
6,Papers co-chairs (Conference Track),Martin Nollenburg,TU Wien,Austria,martin_nollenburg.jpg
7,VisNotes co-chairs,Siming Chen,Fudan University,China,siming_chen.jpg
8,VisNotes co-chairs,Hiroaki Natsukawa,Osaka Seikei University,Japan,hiroaki_natsukawa.jpg
9,VisNotes co-chairs,Qianwen Wang,University of Minnesota,USA,qianwen_wang.jpg
10,Posters co-chairs,Masahiko Itoh,Hokkaido Information University,Japan,masahiko_itoh.jpg
11,Posters co-chairs,Nam Wook Kim,Boston College,USA,nam_wook_kim.jpg
12,Posters co-chairs,Dongyu Liu,UC Davis,USA,dongyu_liu.jpg
13,Visual Storytelling co-chairs,Juanjuan Long,Jiangnan University,China,juanjuan_long.jpg
14,Visual Storytelling co-chairs,John Thompson,Microsoft Research Lab,USA,john_thompson.jpg
15,Local organization chair,Naohisa Sakamoto,"Kobe University, Japan",Japan,naohisa_sakamoto.jpg
16,Financial chair,Yuriko Takeshima,Tokyo University of Technology,Japan,yuriko_takeshima.jpg
17,Registration chair,Yuki Igarashi,Ochanomizu University,Japan,yuki_igarashi.jpg
18,"D&I, Accessibility chair",Yuta Sugiura,Keio University,Japan,yuta_sugiura.jpg
19,Publication chair,Jorji Nonaka,RIKEN,Japan,jorji_nonaka.jpg
20,Publicity co-chairs,Ken Wakita,Tokyo Institute of Technology,Japan,ken_wakita.jpg
21,Publicity co-chairs,Hsiang-Yun Wu,St. Pölten University of Applied Sciences,Austria,hsiang_yun_wu.jpg
22,Secretariat,Emiko Naito,Keio University,Japan,emiko_naito.jpg
23,Advisor,Kazuo Misue,University of Tsukuba,Japan,kazuo_misue.jpg
24,Steering committee,Kwan-Liu Ma,UC Davis,USA,kwan_liu_ma.jpg
25,Steering committee,Wei Chen,Zhejiang University,China,wei_chen.jpg
26,Steering committee,Issei Fujishiro,Keio University,Japan,issei_fujishiro.jpg
27,Steering committee,Seokhee Hong,University of Sydney,Australia,seokhee_hong.jpg
28,Steering committee,Takayuki Itoh,Ochanomizu University,Japan,takayuki_itoh.jpg
29,Steering committee,Jinwook Seo,Seoul National University,South Korea,jinwook_seo.jpg
30,Steering committee,Xiaoru Yuan,Peking University,China,xiaoru_yuan.jpg
31,Vis-Meets-AI Workshop co-chairs,Takanori Fujiwara,Linköping University,Sweden,takanori_fujiwara.jpg
32,Vis-Meets-AI Workshop co-chairs,Junpeng Wang,Visa Research,USA,junpeng_wang.jpg
33,Japan-Korea-China Vis Workshop co-chairs,Issei Fujishiro,Keio University,Japan,issei_fujishiro.jpg
34,Japan-Korea-China Vis Workshop co-chairs,Yun Jang,Sejong University,South Korea,yun_jang.jpg
35,Japan-Korea-China Vis Workshop co-chairs,Xiaoru Yuan,Peking University,China,xiaoru_yuan.jpg
36,JapanVis General chair,Takayuki Itoh,Ochoanomizu University,Japan,takayuki_itoh.jpg
